tla	cop	egy_num	egy_lemma	demo_num	demo_lemma	english	german	tla_link	tla_link_d	MT
C1223	ⲕⲙⲕⲙ	160850	qmqm	d6343	qmqm	[a kettledrum]	[eine Pauke]	https://thesaurus-linguae-aegyptiae.de/lemma/160850	https://thesaurus-linguae-aegyptiae.de/lemma/d6343	1
C1225	ⲕⲙⲟⲙ	164310	kmm	dm1514	km	to be black; to be dark	schwarz sein; dunkel sein	https://thesaurus-linguae-aegyptiae.de/lemma/164310	https://thesaurus-linguae-aegyptiae.de/lemma/dm1514	0
C1227	ⲕⲁⲙⲉ	401218	km	d6579	km	black	schwarz	https://thesaurus-linguae-aegyptiae.de/lemma/401218	https://thesaurus-linguae-aegyptiae.de/lemma/d6579	0
C1228	ⲕⲁⲙⲉ	164560	km.y	NA	NA	black one (Osiris, Min)	Schwarzer	https://thesaurus-linguae-aegyptiae.de/lemma/164560	_	0
C1229	ⲕⲁⲙⲉ	164560	km.y	NA	NA	black one (Osiris, Min)	Schwarzer	https://thesaurus-linguae-aegyptiae.de/lemma/164560	_	0
C1232	ⲕⲏⲙⲉ	164430	Km.t	d6581	Km(j)	Black-land (Egypt)	Das Schwarze Land (Ägypten)	https://thesaurus-linguae-aegyptiae.de/lemma/164430	https://thesaurus-linguae-aegyptiae.de/lemma/d6581	0
C1236	ⲕⲙⲏⲙⲉ	NA	NA	d6583	km(e)m(e).t	[to be black]	Dunkelheit	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6583	0
C1237	ⲕⲟⲙⲙⲉ	160800	qmy.t	d6338	qmj	gum; resin	Harz; Gummi	https://thesaurus-linguae-aegyptiae.de/lemma/160800	https://thesaurus-linguae-aegyptiae.de/lemma/d6338	0
C1243	ⲕⲏⲛ	160990	qn	d6346	qn(e)	to complete; to finish	beenden; aufhören	https://thesaurus-linguae-aegyptiae.de/lemma/160990	https://thesaurus-linguae-aegyptiae.de/lemma/d6346	0
C1246	ⲕⲟⲩⲛ⸗	161180	qnj	d6353	qn(e)	embrace	Umarmung; Schoß; Brust	https://thesaurus-linguae-aegyptiae.de/lemma/161180	https://thesaurus-linguae-aegyptiae.de/lemma/d6353	0
C1248	ⲕⲛⲛⲉ	160890	qni̯	NA	NA	fat; to be fat	fett sein	https://thesaurus-linguae-aegyptiae.de/lemma/160890	_	0
C1253	ⲕⲱⲛⲥ	NA	NA	d6372	qns	sting	stechen	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6372	1
C1258	ⲕⲛⲧⲉ	163910	kwnt	d6379	qnṱ(e)	fig tree	Feigenbaum	https://thesaurus-linguae-aegyptiae.de/lemma/163910	https://thesaurus-linguae-aegyptiae.de/lemma/d6379	1
C1261	ⲕⲛⲁⲁⲩ	161300	qnj	NA	NA	sheaf; bundle	Garbe; Bündel	https://thesaurus-linguae-aegyptiae.de/lemma/161300	_	0
C1265	ⲕⲟⲛϥ	160510	qfn.y	NA	NA	baker	Bäcker	https://thesaurus-linguae-aegyptiae.de/lemma/160510	_	0
C1266	ⲕⲁⲛⲟⲩϥⲓ	156140	šnf.t	d4526	ḫnfj	scale (of a fish)	Schuppe	https://thesaurus-linguae-aegyptiae.de/lemma/156140	https://thesaurus-linguae-aegyptiae.de/lemma/d4526	0
C1268	ⲕⲛϩⲉ	164910	knḥ.t	d6371	qnḥ(j.t)	porch; shrine	Schrein	https://thesaurus-linguae-aegyptiae.de/lemma/164910	https://thesaurus-linguae-aegyptiae.de/lemma/d6371	0
C1270	ⲕⲟⲩⲛϫⲟⲩ	162760	qḏn	d6383	qnḏw(ꜣ.t)	jug; bucket	Krug	https://thesaurus-linguae-aegyptiae.de/lemma/162760	https://thesaurus-linguae-aegyptiae.de/lemma/d6383	0
C1276	ⲕⲱⲡ	854567	kꜣp	d6316	qp(e)	to cover; to roof over; to hide	bedecken; überdachen; (sich) verbergen	https://thesaurus-linguae-aegyptiae.de/lemma/854567	https://thesaurus-linguae-aegyptiae.de/lemma/d6316	1
C1281	ⲕⲁⲡⲁⲓ	163450	kꜣp.w	NA	NA	[a bird]	[ein Vogel]	https://thesaurus-linguae-aegyptiae.de/lemma/163450	_	0
C1282	ⲕⲏⲡⲉ	163420	kꜣp.t	d6318	qp(e)	covers (of the sky)	Gewölbe (des Himmels)	https://thesaurus-linguae-aegyptiae.de/lemma/163420	https://thesaurus-linguae-aegyptiae.de/lemma/d6318	0
C1283	ⲕⲟⲩⲡⲣ	858175	kpr	d6275	qwpr(e)	henna	Henna	https://thesaurus-linguae-aegyptiae.de/lemma/858175	https://thesaurus-linguae-aegyptiae.de/lemma/d6275	1
C1291	ⲕⲟⲩⲣ	NA	NA	dm1413	qwr	tenon (of a door) (?)	Zapfen (einer Tür) (?)	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm1413	1
C1293	ⲕⲣⲟ	NA	NA	d6384	qr	[to be high]	Ufer; Hafendamm, Kai	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6384	0
C1302	ⲕⲣⲱⲙ	161740	qrm.t	d6397	qrm	ashes	Asche	https://thesaurus-linguae-aegyptiae.de/lemma/161740	https://thesaurus-linguae-aegyptiae.de/lemma/d6397	0
C1308	ⲕⲱⲣⲙ	161740	qrm.t	d6397	qrm	ashes	Asche	https://thesaurus-linguae-aegyptiae.de/lemma/161740	https://thesaurus-linguae-aegyptiae.de/lemma/d6397	0
C1309	ⲕⲣⲙⲣⲙ	NA	NA	d6399	qrmrm(e)	[to murmur]	murmeln	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6399	0
C1315	ⲕⲣⲙⲧⲥ	161740	qrm.t	d6400	qrmṱ=s	ashes	Asche	https://thesaurus-linguae-aegyptiae.de/lemma/161740	https://thesaurus-linguae-aegyptiae.de/lemma/d6400	0
C1317	ⲭⲣⲉⲙⲥ	161740	qrm.t	d6397	qrm	ashes	Asche	https://thesaurus-linguae-aegyptiae.de/lemma/161740	https://thesaurus-linguae-aegyptiae.de/lemma/d6397	0
C1318	ⲕⲣⲙⲉⲥ	161740	qrm.t	d6397	qrm	ashes	Asche	https://thesaurus-linguae-aegyptiae.de/lemma/161740	https://thesaurus-linguae-aegyptiae.de/lemma/d6397	0
C1319	ⲕⲣⲙⲉⲥ	161740	qrm.t	d6397	qrm	ashes	Asche	https://thesaurus-linguae-aegyptiae.de/lemma/161740	https://thesaurus-linguae-aegyptiae.de/lemma/d6397	0
C1323	ⲕⲣⲟⲩⲣ	161780	qrr	d6402	qrr	frog	Frosch	https://thesaurus-linguae-aegyptiae.de/lemma/161780	https://thesaurus-linguae-aegyptiae.de/lemma/d6402	0
C1327	ⲕⲁⲣⲟⲩⲥ	NA	NA	d6407	qrs	yellowish	gelblich	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6407	1
C1330	ⲕⲱⲣϣ	NA	NA	d6408	qrš	[to flatter, coax]	schmeicheln	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6408	0
C1331	ⲕⲱⲣϣ	NA	NA	dm7953	qrš	[to flatter, coax]	Schmeichelei, Heuchlerei	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm7953	0
C1336	ⲕⲱⲣϥ	165060	krp	dm7578	grp	to efface (inscriptions) (Sem. loan word)	(Inschrift) tilgen	https://thesaurus-linguae-aegyptiae.de/lemma/165060	https://thesaurus-linguae-aegyptiae.de/lemma/dm7578	0
C1340	ⲕⲣⲟϥ	161690	qrf	d6395	qrf	to contract; to draw together	zusammenziehen; krümmen	https://thesaurus-linguae-aegyptiae.de/lemma/161690	https://thesaurus-linguae-aegyptiae.de/lemma/d6395	0
C1358	ⲕⲁⲥ	162200	qs	d6458	qs	bone	Knochen	https://thesaurus-linguae-aegyptiae.de/lemma/162200	https://thesaurus-linguae-aegyptiae.de/lemma/d6458	0
C1363	ⲕⲁⲥ	162200	qs	d6458	qs	bone	Knochen	https://thesaurus-linguae-aegyptiae.de/lemma/162200	https://thesaurus-linguae-aegyptiae.de/lemma/d6458	0
C1364	ⲕⲁⲥ	162200	qs	d6458	qs	bone	Knochen	https://thesaurus-linguae-aegyptiae.de/lemma/162200	https://thesaurus-linguae-aegyptiae.de/lemma/d6458	0
C1365	ⲕⲟⲉⲓⲥ	165360	ks	d6710	gjs	[a vessel]	[ein Gefäß]	https://thesaurus-linguae-aegyptiae.de/lemma/165360	https://thesaurus-linguae-aegyptiae.de/lemma/d6710	1
C1366	ⲕⲱⲱⲥ	161940	qrs	d6451	qs	to bury	bestatten	https://thesaurus-linguae-aegyptiae.de/lemma/161940	https://thesaurus-linguae-aegyptiae.de/lemma/d6451	0
C1367	ⲕⲱⲱⲥ	161950	qrs	dm4718	qs	burial	Begräbnis	https://thesaurus-linguae-aegyptiae.de/lemma/161950	https://thesaurus-linguae-aegyptiae.de/lemma/dm4718	0
C1368	ⲕⲱⲥ	161950	qrs	dm4718	qs	burial	Begräbnis	https://thesaurus-linguae-aegyptiae.de/lemma/161950	https://thesaurus-linguae-aegyptiae.de/lemma/dm4718	0
C1373	ⲕⲁⲓⲥⲉ	161960	qrs.t	d6459	qs.t	burial	Begräbnis	https://thesaurus-linguae-aegyptiae.de/lemma/161960	https://thesaurus-linguae-aegyptiae.de/lemma/d6459	0
C1374	ⲕⲁⲥⲉ	168290	gs	NA	NA	leather-worker	Lederbearbeiter; Schuhmacher	https://thesaurus-linguae-aegyptiae.de/lemma/168290	_	0
C1375	ⲕⲓⲥⲉ	159760	qjs.wt	NA	NA	discharge	Ausfluss	https://thesaurus-linguae-aegyptiae.de/lemma/159760	_	0
C1376	ⲕⲁⲥⲕⲥ	NA	NA	d6465	qsqs	[to whisper]	flüstern	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6465	0
C1379	ⲕⲟⲥⲕⲥ ⲉⲃⲟⲗ	165520	ksks	d6939	gsgs	to play; to perform	tanzen	https://thesaurus-linguae-aegyptiae.de/lemma/165520	https://thesaurus-linguae-aegyptiae.de/lemma/d6939	0
C1380	ⲝⲟⲩⲣ	863456	gsr	d6651	kswr	ring	Fingerring	https://thesaurus-linguae-aegyptiae.de/lemma/863456	https://thesaurus-linguae-aegyptiae.de/lemma/d6651	1
C1383	ⲕⲱⲧ	162420	qd	d6475	qd	to form; to fashion; to build	formen; bauen; schaffen	https://thesaurus-linguae-aegyptiae.de/lemma/162420	https://thesaurus-linguae-aegyptiae.de/lemma/d6475	0
C1384	ⲕⲱⲧ (ⲉⲃⲟⲗ)	162420	qd	d6475	qd	to form; to fashion; to build	formen; bauen; schaffen	https://thesaurus-linguae-aegyptiae.de/lemma/162420	https://thesaurus-linguae-aegyptiae.de/lemma/d6475	0
C1391	ⲉⲕⲱⲧ	162500	qd.w	d6477	qd	potter; builder; sculptor	Töpfer; Maurer; Bildner	https://thesaurus-linguae-aegyptiae.de/lemma/162500	https://thesaurus-linguae-aegyptiae.de/lemma/d6477	0
C1411	ⲕⲓⲧⲉ	162490	qd.t	d6478	qd.t	kite (a measure of weight)	Kite (Gewicht)	https://thesaurus-linguae-aegyptiae.de/lemma/162490	https://thesaurus-linguae-aegyptiae.de/lemma/d6478	0
C1413	ⲕⲓⲧⲉ	162470	qd.t	d6483	qd(j.t)	sleep	Schlaf	https://thesaurus-linguae-aegyptiae.de/lemma/162470	https://thesaurus-linguae-aegyptiae.de/lemma/d6483	0
C1416	ⲕⲱⲧⲉ	162530	qdi̯	d6485	qdj	to go around; to surround; to return	umhergehen; sich umkehren	https://thesaurus-linguae-aegyptiae.de/lemma/162530	https://thesaurus-linguae-aegyptiae.de/lemma/d6485	0
C1431	ⲕⲱⲧⲉ	162440	qd	dm873	qdj	circumference	Umkreis	https://thesaurus-linguae-aegyptiae.de/lemma/162440	https://thesaurus-linguae-aegyptiae.de/lemma/dm873	0
C1437	ⲕⲟⲧ	162440	qd	dm873	qdj	circumference	Umkreis	https://thesaurus-linguae-aegyptiae.de/lemma/162440	https://thesaurus-linguae-aegyptiae.de/lemma/dm873	0
C1442	ⲕⲟⲧ	162440	qd	dm873	qdj	circumference	Umkreis	https://thesaurus-linguae-aegyptiae.de/lemma/162440	https://thesaurus-linguae-aegyptiae.de/lemma/dm873	0
C1451	ⲕⲧⲟ	162530	qdi̯	d6485	qdj	to go around; to surround; to return	umhergehen; sich umkehren	https://thesaurus-linguae-aegyptiae.de/lemma/162530	https://thesaurus-linguae-aegyptiae.de/lemma/d6485	0
C1467	ⲕⲱⲧϥ	162580	qdf	d6491	qtf	to gather	abpflücken; sammeln	https://thesaurus-linguae-aegyptiae.de/lemma/162580	https://thesaurus-linguae-aegyptiae.de/lemma/d6491	0
C1473	ⲕⲟⲟⲩ	159010	qꜣw	dm7839	qj	height	Höhe; Länge; Lautstärke (der Stimme)	https://thesaurus-linguae-aegyptiae.de/lemma/159010	https://thesaurus-linguae-aegyptiae.de/lemma/dm7839	0
C1475	ⲕⲁⲫⲁⲓ	163450	kꜣp.w	NA	NA	[a bird]	[ein Vogel]	https://thesaurus-linguae-aegyptiae.de/lemma/163450	_	0
C1478	ⲕⲁϣ	166570	gꜣš	d6466	qš(e)	rush; reed	Schilfrohr	https://thesaurus-linguae-aegyptiae.de/lemma/166570	https://thesaurus-linguae-aegyptiae.de/lemma/d6466	0
C1479	ⲕⲁϣ	166570	gꜣš	d6466	qš(e)	rush; reed	Schilfrohr	https://thesaurus-linguae-aegyptiae.de/lemma/166570	https://thesaurus-linguae-aegyptiae.de/lemma/d6466	0
C1484	ⲕⲏϣⲉ	159900	qꜥḥ	NA	NA	papyrus page; papyrus sheet	Papyrusseite; Papyrusblatt	https://thesaurus-linguae-aegyptiae.de/lemma/159900	_	1
C1485	ⲕⲱⲱϣⲉ	NA	NA	d4576	ḫrš	[to press together]	zerbrechen, zusammendrücken	_	https://thesaurus-linguae-aegyptiae.de/lemma/d4576	0
C1487	ⲕⲁϣⲁⲃⲉⲗ	NA	NA	d6469	qšbl	Earring (Old Iranian *gaušabara-)	Ohrring (altiran. *gaušabara-)	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6469	1
C1490	ⲕⲟⲩϣⲧ	NA	NA	d6281	qwšṱ	pepper-like root (or similar)	pfefferartige Wurzel (o.ä.)	_	https://thesaurus-linguae-aegyptiae.de/lemma/d6281	1
C1492	ⲕⲁϥ	164120	kfꜣ	NA	NA	[a part of a plant (med.)]	Wurzel	https://thesaurus-linguae-aegyptiae.de/lemma/164120	_	0
C1494	ⲕⲁϩ	159410	qꜣḥ	d6439	qh	Nile clay; mortar (of clay)	Nilschlamm; Lehmmörtel	https://thesaurus-linguae-aegyptiae.de/lemma/159410	https://thesaurus-linguae-aegyptiae.de/lemma/d6439	0
C1495	ⲕⲁϩ	159920	qꜥḥ.t	d6445	qḥ(j.t)	district	Distrikt	https://thesaurus-linguae-aegyptiae.de/lemma/159920	https://thesaurus-linguae-aegyptiae.de/lemma/d6445	0
C1501	ⲕⲉϩ	159830	qꜥḥ	NA	NA	arm; shoulder	Oberarm; Schulter	https://thesaurus-linguae-aegyptiae.de/lemma/159830	_	0
C1503	ⲕⲟⲉⲓϩ	159840	qꜥḥ.w	d6443	qḥ	corner; bend	Winkel; Ecke; Seite	https://thesaurus-linguae-aegyptiae.de/lemma/159840	https://thesaurus-linguae-aegyptiae.de/lemma/d6443	0
C1504	ⲕⲟⲟϩ	159840	qꜥḥ.w	d6443	qḥ	corner; bend	Winkel; Ecke; Seite	https://thesaurus-linguae-aegyptiae.de/lemma/159840	https://thesaurus-linguae-aegyptiae.de/lemma/d6443	0
C1505	ⲕⲟⲟϩ	159840	qꜥḥ.w	d6443	qḥ	corner; bend	Winkel; Ecke; Seite	https://thesaurus-linguae-aegyptiae.de/lemma/159840	https://thesaurus-linguae-aegyptiae.de/lemma/d6443	0
C1507	ⲕⲱϩ	854569	khꜣ	NA	NA	blow strongly (storm); rage; cast shadows; utter (screams)	stark wehen (Sturm); rasen; Schatten werfen; (Geschrei) ausstoßen	https://thesaurus-linguae-aegyptiae.de/lemma/854569	_	1
C1514	ⲕⲱϩ	858209	qꜣḥ	NA	NA	to control (a horse)	(Pferde) bändigen	https://thesaurus-linguae-aegyptiae.de/lemma/858209	_	0
C1518	ⲕⲁϩⲕϩ	165320	kḥkḥ	NA	NA	to hew (stone); to smooth	(Stein) schneiden; polieren	https://thesaurus-linguae-aegyptiae.de/lemma/165320	_	0
C1522	ⲕⲟⲓⲁϩⲕ	163150	Kꜣ-ḥr-kꜣ	NA	NA	Khoiak (festival); [month name]	Choiak (Fest); Choiak (Monatsname); Choiak (4. Monat der Achet-Jahreszeit)	https://thesaurus-linguae-aegyptiae.de/lemma/163150	_	0
C1524	ⲕⲱϩⲧ	858172	qhd	NA	NA	smoking	räuchern	https://thesaurus-linguae-aegyptiae.de/lemma/858172	_	1
C1529	ⲕⲉϩⲧⲉ	159910	qꜥḥ.t	d6442	qh.ṱ	shoulder (of beef)	Schulterstück (des Rindes)	https://thesaurus-linguae-aegyptiae.de/lemma/159910	https://thesaurus-linguae-aegyptiae.de/lemma/d6442	0
C1533	ⲕⲁϫⲓ	165930	kṯ	NA	NA	[a metal drinking vessel (Sem. loan word)]	[ein Kelch aus Metall]	https://thesaurus-linguae-aegyptiae.de/lemma/165930	_	0
C1537	ⲗⲁ	NA	NA	d3434	rꜥ	[punishment (?); slander]	Strafe(?) (= lꜥ)	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3434	0
C1547	ⲗⲟ	93540	rwi̯	dm6562	lꜥ	to go away; to expel; to drive off	fortgehen; verlassen; vertreiben	https://thesaurus-linguae-aegyptiae.de/lemma/93540	https://thesaurus-linguae-aegyptiae.de/lemma/dm6562	0
C1561	ⲗⲁⲃⲟⲓ	93500	rw-ꜣbw	d3660	lbj(.t)	Lion figure made of ivory	Löwenfigur aus Elfenbein	https://thesaurus-linguae-aegyptiae.de/lemma/93500	https://thesaurus-linguae-aegyptiae.de/lemma/d3660	1
C1562	ⲗⲓⲃⲉ	854651	npꜣ	d3658	lbj	tremble	zittern	https://thesaurus-linguae-aegyptiae.de/lemma/854651	https://thesaurus-linguae-aegyptiae.de/lemma/d3658	1
C1572	ⲗⲓⲃⲉ	854651	npꜣ	d3658	lbj	tremble	zittern	https://thesaurus-linguae-aegyptiae.de/lemma/854651	https://thesaurus-linguae-aegyptiae.de/lemma/d3658	1
C1588	ⲗⲱⲃϣ	81460	nwḫ	NA	NA	to heat; to be scorched	kochen; verbrennen	https://thesaurus-linguae-aegyptiae.de/lemma/81460	_	0
C1591	ⲗⲱⲃϣ	56120	bnš	NA	NA	doorpost	Türpfosten	https://thesaurus-linguae-aegyptiae.de/lemma/56120	_	0
C1594	ⲗⲟⲕ	NA	NA	d3698	lq	lok [measure of liquid]; [a vessel]	Lok [Maß für Flüssigkeit]; [ein Gefäß]	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3698	1
C1609	ⲗⲁⲕⲛⲧ	NA	NA	d3704	lqnṱ	[a vessel]	[ein Gefäß]	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3704	1
C1610	ⲗⲁⲕⲉⲛⲧ	NA	NA	d3704	lqnṱ	[a vessel]	[ein Gefäß]	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3704	1
C1612	ⲗⲱⲕⲥ	88370	nsq	d3709	lks	[verb]	stechen; beißen	https://thesaurus-linguae-aegyptiae.de/lemma/88370	https://thesaurus-linguae-aegyptiae.de/lemma/d3709	0
C1619	ⲗⲁⲕⲥⲓ	165110	krs	NA	NA	to caper (Sem. loan word)	springen (Ziegen)	https://thesaurus-linguae-aegyptiae.de/lemma/165110	_	0
C1629	ⲗⲏⲗ	95270	rr	dm698	rl	[something which encircles (circlet; collar; bracelet)]	Halskette; Collier	https://thesaurus-linguae-aegyptiae.de/lemma/95270	https://thesaurus-linguae-aegyptiae.de/lemma/dm698	0
C1630	ⲗⲟⲗ	84940	nnj.w	NA	NA	bed	Bett	https://thesaurus-linguae-aegyptiae.de/lemma/84940	_	0
C1631	ⲗⲁⲗⲉ	39360	ꜥrꜥr	d1029	ꜥrꜥr	to accomplish (something); to supply	(etwas) ausführen; herstellen	https://thesaurus-linguae-aegyptiae.de/lemma/39360	https://thesaurus-linguae-aegyptiae.de/lemma/d1029	0
C1632	ⲗⲉⲗⲉ	NA	NA	d3648	lwlw	[to leave, go away]	umherirren; brennen; rasen	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3648	0
C1637	ⲗⲉⲗⲟⲩ	84560	nn.w	d3190	nn	child	Kind (u. Ä.)	https://thesaurus-linguae-aegyptiae.de/lemma/84560	https://thesaurus-linguae-aegyptiae.de/lemma/d3190	0
C1638	ⲗⲉⲗⲟⲩ	84560	nn.w	d3190	nn	child	Kind (u. Ä.)	https://thesaurus-linguae-aegyptiae.de/lemma/84560	https://thesaurus-linguae-aegyptiae.de/lemma/d3190	0
C1640	ⲗⲟⲩⲗⲁⲓ	NA	NA	dm646	ljlꜥj	[to rejoice]	Ruf, Geschrei	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm646	0
C1669	ⲗⲉⲙⲏⲏϣⲉ	400043	jm.j-rʾ-mšꜥ	d2517	mr-mšꜥ	overseer of work-gangs (i.e. expedition leader)	Vorsteher der Expedition; Vorsteher des Heeres	https://thesaurus-linguae-aegyptiae.de/lemma/400043	https://thesaurus-linguae-aegyptiae.de/lemma/d2517	0
C1670	ⲗⲁⲙϫⲁⲧⲡ	NA	NA	d3672	lnḏp(ꜥ)	Bad luck	Pech	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3672	1
C1672	ⲗⲁⲓⲛ	NA	NA	d3628	ljn	[steel]	Stahl	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3628	0
C1673	ⲗⲉⲟⲛ	NA	NA	d3621	lꜣn	earring	Ohrring	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3621	1
C1679	ⲗⲉⲯⲉ	88180	nzp.w	NA	NA	wounds	Wunden	https://thesaurus-linguae-aegyptiae.de/lemma/88180	_	0
C1684	ⲗⲁⲥ	87800	ns	d3694	ls	tongue	Zunge	https://thesaurus-linguae-aegyptiae.de/lemma/87800	https://thesaurus-linguae-aegyptiae.de/lemma/d3694	0
C1697	ⲗⲱⲱⲥ	88350	nss	NA	NA	to do damage to	beschädigen (o. Ä.)	https://thesaurus-linguae-aegyptiae.de/lemma/88350	_	0
C1724	ⲗⲁϣⲓⲉ	NA	NA	dm6690	rẖ	[dumb]	Tor, Dummkopf	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm6690	0
C1725	ⲗⲁϣⲁⲛⲉ	853889	jm.j-rʾ-šn.w	d2527	mr-šn	head of the tax audit	Vorsteher der Steuerprüfung	https://thesaurus-linguae-aegyptiae.de/lemma/853889	https://thesaurus-linguae-aegyptiae.de/lemma/d2527	1
C1730	ⲗⲱⲱϥⲉ	NA	NA	d3480	rfꜥj	[to wobble, stagger]	Wanken, Schwanken(?), Dummheit(?)	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3480	0
C1735	ⲗⲁϧⲉⲙ	40830	ꜥẖm.w	dm4227	ꜥḫm	leaves; twigs	Blätter; Zweige (einer Pflanze)	https://thesaurus-linguae-aegyptiae.de/lemma/40830	https://thesaurus-linguae-aegyptiae.de/lemma/dm4227	0
C1737	ⲗⲉϩ	85420	nh.w	d3680	lh	loss; lack	Verlust; Verminderung	https://thesaurus-linguae-aegyptiae.de/lemma/85420	https://thesaurus-linguae-aegyptiae.de/lemma/d3680	0
C1742	ⲗϩⲱⲃ	95420	rhb	d3682	lhb	embers	Glut	https://thesaurus-linguae-aegyptiae.de/lemma/95420	https://thesaurus-linguae-aegyptiae.de/lemma/d3682	0
C1746	ⲗⲱϩⲙ	NA	NA	d3693	lẖm	[to cook]	zerreiben(?); kochen	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3693	0
C1748	ⲗϩⲏⲙ	85580	nhm	d3221	nhm	to rejoice	jauchzen; jubeln	https://thesaurus-linguae-aegyptiae.de/lemma/85580	https://thesaurus-linguae-aegyptiae.de/lemma/d3221	0
C1760	ⲗⲟϫⲗϫ	NA	NA	d3717	lḏlḏ	be sick	krank sein	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3717	1
C1765	ⲗⲱϫϩ	NA	NA	d3708	lkḥ	[to lick (?)]	lecken(?)	_	https://thesaurus-linguae-aegyptiae.de/lemma/d3708	0
C1767	ⲗⲟϭ	NA	NA	dm6690	rẖ	[dumb]	Tor, Dummkopf	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm6690	0
C1771	ⲙⲁ	850060	mꜣꜥ	d2291	mꜣꜥ	Location (position)	Ort (Stelle)	https://thesaurus-linguae-aegyptiae.de/lemma/850060	https://thesaurus-linguae-aegyptiae.de/lemma/d2291	1
C1781	ⲙⲁ-	851706	jmi̯	d2324	mj	give!; give!; cause (that)!	gib!; gebt!; veranlasse (dass)!	https://thesaurus-linguae-aegyptiae.de/lemma/851706	https://thesaurus-linguae-aegyptiae.de/lemma/d2324	1
C1785	ⲙⲉ	72470	mri̯	d2496	mr	to love; to wish	lieben; wünschen	https://thesaurus-linguae-aegyptiae.de/lemma/72470	https://thesaurus-linguae-aegyptiae.de/lemma/d2496	0
C1788	ⲙⲉⲣⲓⲧ	72660	mrw.tj	d2534	mrṱ	beloved	Geliebter; Liebling	https://thesaurus-linguae-aegyptiae.de/lemma/72660	https://thesaurus-linguae-aegyptiae.de/lemma/d2534	0
C1789	ⲙⲉ	66620	mꜣꜥ.t	d2297	mꜣꜥ.t	right order; truth	Rechtes; Wahrheit; Gerechtigkeit	https://thesaurus-linguae-aegyptiae.de/lemma/66620	https://thesaurus-linguae-aegyptiae.de/lemma/d2297	0
C1800	ⲙⲏⲧ	77420	mtj	d2797	mtr(j)	correct; precise	richtig	https://thesaurus-linguae-aegyptiae.de/lemma/77420	https://thesaurus-linguae-aegyptiae.de/lemma/d2797	0
C1801	ⲙⲏ	69240	mw.yt	d2277	mꜣ.t	liquid (med.)	Feuchtigkeit; Harn	https://thesaurus-linguae-aegyptiae.de/lemma/69240	https://thesaurus-linguae-aegyptiae.de/lemma/d2277	0
C1806	ⲙⲏⲓ	68260	mjw	NA	NA	[an instrument of metal]	[ein Gerät aus Metall]	https://thesaurus-linguae-aegyptiae.de/lemma/68260	_	0
C1809	ⲙⲟⲩ	69300	mwt	d2408	mwt	to die; to be dead	sterben; tot sein; vergehen	https://thesaurus-linguae-aegyptiae.de/lemma/69300	https://thesaurus-linguae-aegyptiae.de/lemma/d2408	0
C1810	ⲙⲟⲩ	69310	mwt	dm762	mwt	death; dying	Tod	https://thesaurus-linguae-aegyptiae.de/lemma/69310	https://thesaurus-linguae-aegyptiae.de/lemma/dm762	0
C1813	ⲣⲉϥⲙⲟⲟⲩⲧ	NA	NA	dm4367	rmṯ-ı ͗w=f-mwt.ṱ	dead, deceased	Toter, Verstorbener	_	https://thesaurus-linguae-aegyptiae.de/lemma/dm4367	1
C1819	ⲙⲟⲩⲉ	66870	mꜣw.t	dm2421	mꜣwj	rays; beams	Strahlen; Glanz	https://thesaurus-linguae-aegyptiae.de/lemma/66870	https://thesaurus-linguae-aegyptiae.de/lemma/dm2421	0
C1822	ⲙⲟⲩⲉ	66830	mꜣw.t	d2283	mꜣj	new land; island	Neuland	https://thesaurus-linguae-aegyptiae.de/lemma/66830	https://thesaurus-linguae-aegyptiae.de/lemma/d2283	0
C1823	ⲙⲟⲩⲉ	66830	mꜣw.t	d2283	mꜣj	new land; island	Neuland	https://thesaurus-linguae-aegyptiae.de/lemma/66830	https://thesaurus-linguae-aegyptiae.de/lemma/d2283	0
C1824	ⲙⲟⲩⲓ	66150	mꜣw	d2279	mꜣj	new	neu	https://thesaurus-linguae-aegyptiae.de/lemma/66150	https://thesaurus-linguae-aegyptiae.de/lemma/d2279	0
